Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga (Rp)
63,Kalimantan Selatan,Cabai Rawit Merah,2022,Maret,
64,Kalimantan Timur,Cabai Rawit Merah,2022,Maret,
71,Sulawesi Utara,Cabai Rawit Merah,2022,Maret,"Rp51,878"
72,Sulawesi Tengah,Cabai Rawit Merah,2022,Maret,"Rp33,642"
73,Sulawesi Selatan,Cabai Rawit Merah,2022,Maret,"Rp35,493"
74,Sulawesi Tenggara,Cabai Rawit Merah,2022,Maret,
75,Gorontalo,Cabai Rawit Merah,2022,Maret,
76,Sulawesi Barat,Cabai Rawit Merah,2022,Maret,
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp52,636"
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp47,872"
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp51,917"
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp53,593"
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp49,037"
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp49,442"
21,Kepulauan Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp51,305"
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp48,812"
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp48,955"
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp55,441"
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp41,194"
52,Nusa Tenggara Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp47,961"
53,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp39,065"
61,Kalimantan Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
62,Kalimantan Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
63,Kalimantan Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
64,Kalimantan Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
71,Sulawesi Utara,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
72,Sulawesi Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
73,Sulawesi Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,"Rp53,749"
74,Sulawesi Tenggara,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
75,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Maret,
11,Aceh,Ayam Ras Pedaging,2022,Maret,
12,Sumatera Utara,Ayam Ras Pedaging,2022,Maret,"Rp21,166"
13,Sumatera Barat,Ayam Ras Pedaging,2022,Maret,
14,Riau,Ayam Ras Pedaging,2022,Maret,"Rp21,630"
15,Jambi,Ayam Ras Pedaging,2022,Maret,
16,Sumatera Selatan,Ayam Ras Pedaging,2022,Maret,"Rp21,144"
17,Bengkulu,Ayam Ras Pedaging,2022,Maret,
18,Lampung,Ayam Ras Pedaging,2022,Maret,"Rp22,056"
21,Kepulauan Riau,Ayam Ras Pedaging,2022,Maret,
32,Jawa Barat,Ayam Ras Pedaging,2022,Maret,"Rp21,789"
33,Jawa Tengah,Ayam Ras Pedaging,2022,Maret,"Rp19,379"
34,D.I Yogyakarta,Ayam Ras Pedaging,2022,Maret,
35,Jawa Timur,Ayam Ras Pedaging,2022,Maret,"Rp21,807"
36,Banten,Ayam Ras Pedaging,2022,Maret,"Rp22,622"
51,Bali,Ayam Ras Pedaging,2022,Maret,"Rp20,785"
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2022,Maret,"Rp25,000"
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2022,Maret,
61,Kalimantan Barat,Ayam Ras Pedaging,2022,Maret,
62,Kalimantan Tengah,Ayam Ras Pedaging,2022,Maret,"Rp28,000"
63,Kalimantan Selatan,Ayam Ras Pedaging,2022,Maret,"Rp26,679"
64,Kalimantan Timur,Ayam Ras Pedaging,2022,Maret,
71,Sulawesi Utara,Ayam Ras Pedaging,2022,Maret,
72,Sulawesi Tengah,Ayam Ras Pedaging,2022,Maret,
73,Sulawesi Selatan,Ayam Ras Pedaging,2022,Maret,"Rp21,792"
74,Sulawesi Tenggara,Ayam Ras Pedaging,2022,Maret,
75,Gorontalo,Ayam Ras Pedaging,2022,Maret,
76,Sulawesi Barat,Ayam Ras Pedaging,2022,Maret,
11,Aceh,Telur Ayam Ras,2022,Maret,
12,Sumatera Utara,Telur Ayam Ras,2022,Maret,"Rp19,628"
