Kode Provinsi,Nama Provinsi,Tahun,Bulan,Curah Hujan
93,Papua Selatan,2022,Januari,10.68
93,Papua Selatan,2022,Februari,10.75
93,Papua Selatan,2022,Maret,12.54
93,Papua Selatan,2022,April,3.65
93,Papua Selatan,2022,Mei,2.35
93,Papua Selatan,2022,Juni,4.85
93,Papua Selatan,2022,Juli,3.52
93,Papua Selatan,2022,Agustus,1.03
93,Papua Selatan,2022,September,5.6
93,Papua Selatan,2022,Oktober,4.64
93,Papua Selatan,2022,November,9.25
93,Papua Selatan,2022,Desember,10.81
94,Papua Tengah,2022,Januari,9.07
94,Papua Tengah,2022,Februari,15.68
94,Papua Tengah,2022,Maret,12.06
94,Papua Tengah,2022,April,11.11
94,Papua Tengah,2022,Mei,15.83
94,Papua Tengah,2022,Juni,11.33
94,Papua Tengah,2022,Juli,16.47
94,Papua Tengah,2022,Agustus,14.49
94,Papua Tengah,2022,September,17.07
94,Papua Tengah,2022,Oktober,8.29
94,Papua Tengah,2022,November,16.49
94,Papua Tengah,2022,Desember,9.86
95,Papua Pegunungan,2022,Januari,5.72
95,Papua Pegunungan,2022,Februari,6.64
95,Papua Pegunungan,2022,Maret,6.51
95,Papua Pegunungan,2022,April,5.46
95,Papua Pegunungan,2022,Mei,7.7
95,Papua Pegunungan,2022,Juni,1.69
95,Papua Pegunungan,2022,Juli,5.63
95,Papua Pegunungan,2022,Agustus,3.92
95,Papua Pegunungan,2022,September,3.67
95,Papua Pegunungan,2022,Oktober,3.36
95,Papua Pegunungan,2022,November,6.41
95,Papua Pegunungan,2022,Desember,8.76
96,Papua Barat Daya,2022,Januari,8.55
96,Papua Barat Daya,2022,Februari,6.98
96,Papua Barat Daya,2022,Maret,8.84
96,Papua Barat Daya,2022,April,3.67
96,Papua Barat Daya,2022,Mei,8.2
96,Papua Barat Daya,2022,Juni,11.66
96,Papua Barat Daya,2022,Juli,23.52
96,Papua Barat Daya,2022,Agustus,24.84
96,Papua Barat Daya,2022,September,9.18
96,Papua Barat Daya,2022,Oktober,6.81
96,Papua Barat Daya,2022,November,4.65
96,Papua Barat Daya,2022,Desember,7.64
11,Aceh,2023,Januari,8.9
11,Aceh,2023,Februari,3.67
11,Aceh,2023,Maret,2.77
11,Aceh,2023,April,2.62
11,Aceh,2023,Mei,5.98
11,Aceh,2023,Juni,5.89
11,Aceh,2023,Juli,2.55
11,Aceh,2023,Agustus,5.14
11,Aceh,2023,September,6.14
11,Aceh,2023,Oktober,9.47
11,Aceh,2023,November,10.05
11,Aceh,2023,Desember,12.87
12,Sumatera Utara,2023,Januari,6.04
12,Sumatera Utara,2023,Februari,1.86
12,Sumatera Utara,2023,Maret,5.88
12,Sumatera Utara,2023,April,1.82
12,Sumatera Utara,2023,Mei,6.29
12,Sumatera Utara,2023,Juni,2.85
12,Sumatera Utara,2023,Juli,4.09
12,Sumatera Utara,2023,Agustus,5.78
12,Sumatera Utara,2023,September,5.35
12,Sumatera Utara,2023,Oktober,4.99
12,Sumatera Utara,2023,November,9.29
12,Sumatera Utara,2023,Desember,12.7
13,Sumatera Barat,2023,Januari,11.03
13,Sumatera Barat,2023,Februari,7.66
13,Sumatera Barat,2023,Maret,11.36
13,Sumatera Barat,2023,April,10.42
13,Sumatera Barat,2023,Mei,7.82
13,Sumatera Barat,2023,Juni,9.56
13,Sumatera Barat,2023,Juli,10.3
13,Sumatera Barat,2023,Agustus,16.17
13,Sumatera Barat,2023,September,5.51
13,Sumatera Barat,2023,Oktober,4.72
13,Sumatera Barat,2023,November,7.96
13,Sumatera Barat,2023,Desember,10.99
14,Riau,2023,Januari,8.79
14,Riau,2023,Februari,5.51
14,Riau,2023,Maret,12.13
14,Riau,2023,April,9.5
14,Riau,2023,Mei,9.39
14,Riau,2023,Juni,3.99
14,Riau,2023,Juli,11.72
14,Riau,2023,Agustus,12.73
14,Riau,2023,September,11.27
14,Riau,2023,Oktober,11.53
14,Riau,2023,November,18.34
14,Riau,2023,Desember,14.55
15,Jambi,2023,Januari,9.2
15,Jambi,2023,Februari,4.5
15,Jambi,2023,Maret,14.15
15,Jambi,2023,April,8.84
15,Jambi,2023,Mei,5.2
15,Jambi,2023,Juni,7.08
15,Jambi,2023,Juli,10.08
15,Jambi,2023,Agustus,12.28
15,Jambi,2023,September,3.48
15,Jambi,2023,Oktober,4.3
15,Jambi,2023,November,12.19
15,Jambi,2023,Desember,9.28
16,Sumatera Selatan,2023,Januari,7.89
16,Sumatera Selatan,2023,Februari,7.11
16,Sumatera Selatan,2023,Maret,9.83
16,Sumatera Selatan,2023,April,7.83
16,Sumatera Selatan,2023,Mei,8.63
16,Sumatera Selatan,2023,Juni,6.09
16,Sumatera Selatan,2023,Juli,5.62
16,Sumatera Selatan,2023,Agustus,2.22
16,Sumatera Selatan,2023,September,1.4
16,Sumatera Selatan,2023,Oktober,1.65
16,Sumatera Selatan,2023,November,6.81
16,Sumatera Selatan,2023,Desember,7.42
17,Bengkulu,2023,Januari,6.8
17,Bengkulu,2023,Februari,4.28
17,Bengkulu,2023,Maret,11.3
17,Bengkulu,2023,April,8.09
17,Bengkulu,2023,Mei,3.68
17,Bengkulu,2023,Juni,5.25
17,Bengkulu,2023,Juli,5.86
17,Bengkulu,2023,Agustus,4.24
17,Bengkulu,2023,September,0.51
17,Bengkulu,2023,Oktober,2.04
17,Bengkulu,2023,November,10.35
