tanggal,komoditas,provinsi,harga
9/29/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
9/30/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/1/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/2/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/3/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/4/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,140000
10/5/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/6/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/7/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/8/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/9/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/10/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/11/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/12/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/13/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/14/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/15/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/16/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/17/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/18/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/19/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/20/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/21/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/22/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/23/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/24/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/25/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/26/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/27/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/28/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,#DIV/0!
10/29/2022,Daging Sapi Murni Tingkat Pemotong/RPH,Aceh,150000
