Kode Provinsi,Nama Provinsi,Komoditas,Bulan,Tahun,Produksi (Ton),Harga
73,SULAWESI SELATAN,Daging Sapi Murni,Februari,2022,1040,"Rp119,365"
74,SULAWESI TENGGARA,Daging Sapi Murni,Februari,2022,239,"Rp123,890"
75,GORONTALO,Daging Sapi Murni,Februari,2022,172,"Rp126,023"
76,SULAWESI BARAT,Daging Sapi Murni,Februari,2022,141,"Rp125,096"
81,MALUKU,Daging Sapi Murni,Februari,2022,67,"Rp110,309"
82,MALUKU UTARA,Daging Sapi Murni,Februari,2022,109,"Rp123,684"
91,PAPUA BARAT,Daging Sapi Murni,Februari,2022,53,"Rp134,139"
94,PAPUA,Daging Sapi Murni,Februari,2022,162,"Rp139,135"
95,PAPUA PEGUNUNGAN,Daging Sapi Murni,Februari,2022,0,
11,ACEH,Telur Ayam Ras,Februari,2022,125,"Rp20,848"
12,SUMATERA UTARA,Telur Ayam Ras,Februari,2022,46430,"Rp24,899"
13,SUMATERA BARAT,Telur Ayam Ras,Februari,2022,35378,"Rp22,899"
14,RIAU,Telur Ayam Ras,Februari,2022,198,"Rp22,150"
15,JAMBI,Telur Ayam Ras,Februari,2022,5532,"Rp23,957"
16,SUMATERA SELATAN,Telur Ayam Ras,Februari,2022,17913,"Rp20,706"
17,BENGKULU,Telur Ayam Ras,Februari,2022,849,"Rp20,667"
18,LAMPUNG,Telur Ayam Ras,Februari,2022,17234,"Rp21,281"
19,KEPULAUAN BANGKA BELITUNG,Telur Ayam Ras,Februari,2022,1675,"Rp25,946"
21,KEPULAUAN RIAU,Telur Ayam Ras,Februari,2022,1705,"Rp28,916"
31,DKI JAKARTA,Telur Ayam Ras,Februari,2022,,"Rp22,051"
32,JAWA BARAT,Telur Ayam Ras,Februari,2022,55223,"Rp21,057"
33,JAWA TENGAH,Telur Ayam Ras,Februari,2022,65976,"Rp20,203"
34,DI YOGYAKARTA,Telur Ayam Ras,Februari,2022,13823,"Rp20,509"
35,JAWA TIMUR,Telur Ayam Ras,Februari,2022,97921,"Rp19,776"
36,BANTEN,Telur Ayam Ras,Februari,2022,24628,"Rp20,446"
51,BALI,Telur Ayam Ras,Februari,2022,14104,"Rp21,556"
52,NUSA TENGGARA BARAT,Telur Ayam Ras,Februari,2022,3077,"Rp23,500"
53,NUSA TENGGARA TIMUR,Telur Ayam Ras,Februari,2022,489,"Rp27,870"
61,KALIMANTAN BARAT,Telur Ayam Ras,Februari,2022,5737,"Rp26,998"
62,KALIMANTAN TENGAH,Telur Ayam Ras,Februari,2022,181,"Rp26,130"
63,KALIMANTAN SELATAN,Telur Ayam Ras,Februari,2022,8583,"Rp23,142"
64,KALIMANTAN TIMUR,Telur Ayam Ras,Februari,2022,2378,"Rp28,299"
65,KALIMANTAN UTARA,Telur Ayam Ras,Februari,2022,71,"Rp28,781"
71,SULAWESI UTARA,Telur Ayam Ras,Februari,2022,2404,"Rp26,787"
72,SULAWESI TENGAH,Telur Ayam Ras,Februari,2022,1051,"Rp27,184"
73,SULAWESI SELATAN,Telur Ayam Ras,Februari,2022,14098,"Rp21,568"
74,SULAWESI TENGGARA,Telur Ayam Ras,Februari,2022,112,"Rp25,663"
75,GORONTALO,Telur Ayam Ras,Februari,2022,203,"Rp25,717"
76,SULAWESI BARAT,Telur Ayam Ras,Februari,2022,44,"Rp21,105"
81,MALUKU,Telur Ayam Ras,Februari,2022,66,"Rp34,027"
82,MALUKU UTARA,Telur Ayam Ras,Februari,2022,12,"Rp31,633"
91,PAPUA BARAT,Telur Ayam Ras,Februari,2022,774,"Rp35,720"
94,PAPUA,Telur Ayam Ras,Februari,2022,1406,"Rp35,944"
11,ACEH,Cabai Rawit Merah,Maret,2022,4389,"Rp47,176"
12,SUMATERA UTARA,Cabai Rawit Merah,Maret,2022,6946,"Rp72,959"
13,SUMATERA BARAT,Cabai Rawit Merah,Maret,2022,2971,"Rp33,828"
14,RIAU,Cabai Rawit Merah,Maret,2022,567,"Rp59,367"
15,JAMBI,Cabai Rawit Merah,Maret,2022,1257,"Rp51,697"
16,SUMATERA SELATAN,Cabai Rawit Merah,Maret,2022,935,"Rp53,677"
17,BENGKULU,Cabai Rawit Merah,Maret,2022,2644,"Rp47,240"
18,LAMPUNG,Cabai Rawit Merah,Maret,2022,1326,"Rp46,748"
